"","colony","92023","122022","52022","42024","62019","12024","22024","102019"
"1","4_98",NA,NA,NA,NA,NA,"012024_BEL_CBC_T4_661_PSTR",NA,NA
"2","4_79",NA,NA,NA,NA,NA,"012024_BEL_CBC_T4_663_PSTR",NA,NA
"3","4_76",NA,NA,NA,NA,NA,"012024_BEL_CBC_T4_665_MCAV",NA,NA
"4","4_78",NA,NA,NA,NA,NA,"012024_BEL_CBC_T4_667_OFAV",NA,NA
"5","4_30",NA,NA,NA,NA,NA,"012024_BEL_CBC_T4_669_MCAV",NA,NA
"6","1_3",NA,NA,NA,NA,NA,"012024_BEL_CBC_T1_557_SSID",NA,NA
"7","1_24",NA,NA,NA,NA,NA,"012024_BEL_CBC_T1_559_MCAV",NA,NA
"8","1_12",NA,NA,NA,NA,NA,"012024_BEL_CBC_T1_563_PSTR",NA,NA
"9","1_21",NA,NA,NA,NA,NA,"012024_BEL_CBC_T1_565_PAST",NA,NA
"10","3_33",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_625_SSID",NA,NA
"11","3_34",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_627_PAST",NA,NA
"12","3_39",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_629_OFAV",NA,NA
"13","3_21",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_631_MCAV",NA,NA
"14","3_2",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_633_MCAV",NA,NA
"15","3_38",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_635_OFAV",NA,NA
"16","3_5",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_637_SSID",NA,NA
"17","3_66",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_639_OFAV",NA,NA
"18","3_14",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_640_MCAV",NA,NA
"19","3_20",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_642_PSTR",NA,NA
"20","3_70",NA,NA,NA,NA,NA,"012024_BEL_CBC_T3_644_PSTR",NA,NA
"21","2_76",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_585_OFAV",NA,NA
"22","2_72",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_587_SSID",NA,NA
"23","2_73",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_589_SSID",NA,NA
"24","2_68",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_591_PAST",NA,NA
"25","2_69",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_593_MCAV",NA,NA
"26","2_63",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_595_PAST",NA,NA
"27","2_57",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_597_PAST",NA,NA
"28","2_60",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_599_MCAV",NA,NA
"29","2_79",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_601_OFAV",NA,NA
"30","2_55",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_603_MCAV",NA,NA
"31","2_99",NA,NA,NA,NA,NA,"012024_BEL_CBC_T2_605_SSID",NA,NA
"32","1_25",NA,NA,NA,NA,NA,"012024_BEL_CBC_T1_561_OANN",NA,NA
