"","Tubelabel_species","Health_Status","Date_Extracted","Raw_ng_ul","Extraction_physical_location","Date_Enriched","Microbe_Location","colony"
"1","012024_BEL_CBC_T1_557_SSID","Healthy","2_17_2025","44.6","UML_NARWHAL_R2_B16","","","1_3"
"2","012024_BEL_CBC_T1_559_MCAV","Healthy","2_17_2025","14.8","UML_NARWHAL_R2_B16","","","1_24"
"3","012024_BEL_CBC_T1_561_OANN","Healthy","2_17_2025","18","UML_NARWHAL_R2_B16","","","1_25"
"4","012024_BEL_CBC_T1_563_PSTR","Healthy","2_17_2025","35.8","UML_NARWHAL_R2_B16","","","1_12"
"5","012024_BEL_CBC_T1_565_PAST","Healthy","2_17_2025","7.72","UML_NARWHAL_R2_B16","","","1_21"
"6","012024_BEL_CBC_T2_585_OFAV","Healthy","2_17_2025","71.6","UML_NARWHAL_R2_B16","","","2_76"
"7","012024_BEL_CBC_T2_587_SSID","Healthy","2_17_2025","48.8","UML_NARWHAL_R2_B16","","","2_72"
"8","012024_BEL_CBC_T2_589_SSID","Healthy","2_17_2025","47.6","UML_NARWHAL_R2_B16","","","2_73"
"9","012024_BEL_CBC_T2_591_PAST","Healthy","2_17_2025","29.4","UML_NARWHAL_R2_B16","","","2_68"
"10","012024_BEL_CBC_T2_593_MCAV","Healthy","2_17_2025","24.8","UML_NARWHAL_R2_B16","","","2_69"
"11","012024_BEL_CBC_T2_595_PAST","Healthy","2_17_2025","21.8","UML_NARWHAL_R2_B16","","","2_63"
"12","012024_BEL_CBC_T2_597_PAST","Healthy","2_17_2025","1.88","UML_NARWHAL_R2_B16","","","2_57"
"13","012024_BEL_CBC_T2_599_MCAV","Healthy","2_17_2025","21.8","UML_NARWHAL_R2_B16","","","2_60"
"14","012024_BEL_CBC_T2_601_OFAV","Healthy","2_17_2025","89","UML_NARWHAL_R2_B16","","","2_79"
"15","012024_BEL_CBC_T2_603_MCAV","Healthy","2_17_2025","5.66","UML_NARWHAL_R2_B16","","","2_55"
"16","012024_BEL_CBC_T2_605_SSID","Healthy","2_17_2025","59.8","UML_NARWHAL_R2_B16","","","2_99"
"17","012024_BEL_CBC_T3_625_SSID","Healthy","2_20_2025","16.2","UML_NARWHAL_R2_B16","","","3_33"
"18","012024_BEL_CBC_T3_627_PAST","Healthy","2_20_2025","10.5","UML_NARWHAL_R2_B16","","","3_34"
"19","012024_BEL_CBC_T3_629_OFAV","Healthy","2_20_2025","62","UML_NARWHAL_R2_B16","","","3_39"
"20","012024_BEL_CBC_T3_631_MCAV","Healthy","2_20_2025","77.6","UML_NARWHAL_R2_B16","","","3_21"
"21","012024_BEL_CBC_T3_633_MCAV","Healthy","2_17_2025","49.8","UML_NARWHAL_R2_B16","","","3_2"
"22","012024_BEL_CBC_T3_635_OFAV","Healthy","2_20_2025","90.4","UML_NARWHAL_R2_B16","","","3_38"
"23","012024_BEL_CBC_T3_637_SSID","Healthy","2_20_2025","6.46","UML_NARWHAL_R2_B16","","","3_5"
"24","012024_BEL_CBC_T3_639_OFAV","Healthy","2_20_2025","77.8","UML_NARWHAL_R2_B16","","","3_66"
"25","012024_BEL_CBC_T3_640_MCAV","Healthy","2_20_2025","7.4","UML_NARWHAL_R2_B16","","","3_14"
"26","012024_BEL_CBC_T3_642_PSTR","Healthy","2_20_2025","2.04","UML_NARWHAL_R2_B16","","","3_20"
"27","012024_BEL_CBC_T3_644_PSTR","Healthy","2_20_2025","48.8","UML_NARWHAL_R2_B16","","","3_70"
"28","012024_BEL_CBC_T4_661_PSTR","Healthy","2_20_2025","1.41","UML_NARWHAL_R2_B16","","","4_98"
"29","012024_BEL_CBC_T4_663_PSTR","Healthy","2_20_2025","8.44","UML_NARWHAL_R2_B16","","","4_79"
"30","012024_BEL_CBC_T4_665_MCAV","Healthy","2_20_2025","16.3","UML_NARWHAL_R2_B16","","","4_76"
"31","012024_BEL_CBC_T4_667_OFAV","Healthy","2_20_2025","55.8","UML_NARWHAL_R2_B16","","","4_78"
"32","012024_BEL_CBC_T4_669_MCAV","Healthy","2_20_2025","30.8","UML_NARWHAL_R2_B16","","","4_30"
"33","022024_BEL_CBC_T1_771_PAST","Healthy","11_22_2024","23.8","UML_NARWHAL_R2_B13","","","1_2"
"34","022024_BEL_CBC_T1_773_SSID","Healthy","11_22_2024","61.8","UML_NARWHAL_R2_B13","","","1_3"
"35","022024_BEL_CBC_T1_774_MCAV","Healthy","11_22_2024","31.2","UML_NARWHAL_R2_B13","","","1_24"
"36","022024_BEL_CBC_T1_775_OANN","Healthy","11_22_2024","13.8","UML_NARWHAL_R2_B13","","","1_25"
"37","022024_BEL_CBC_T1_776_PSTR","Healthy","11_22_2024","20.2","UML_NARWHAL_R2_B13","","","1_12"
"38","022024_BEL_CBC_T2_804_OFAV","Healthy","11_22_2024","86.8","UML_NARWHAL_R2_B13","","","2_76"
"39","022024_BEL_CBC_T2_805_SSID","Diseased_Tissue","9_10_2024","10.2","UML_NARWHAL_R2_B11","","","2_72"
"40","022024_BEL_CBC_T2_806_SSID","Diseased_Margin","11_4_2024","2.46","UML_NARWHAL_R2_B11","","","2_72"
"41","022024_BEL_CBC_T2_807_SSID","Healthy","11_22_2024","77.6","UML_NARWHAL_R2_B13","","","2_73"
"42","022024_BEL_CBC_T2_808_PAST","Healthy","11_22_2024","32","UML_NARWHAL_R2_B13","","","2_68"
"43","022024_BEL_CBC_T2_809_MCAV","Healthy","11_22_2024","52.6","UML_NARWHAL_R2_B13","","","2_69"
"44","022024_BEL_CBC_T2_810_SSID","Healthy","11_22_2024","81.2","UML_NARWHAL_R2_B13","","","2_99"
"45","022024_BEL_CBC_T2_811_PAST","Healthy","11_22_2024","13.5","UML_NARWHAL_R2_B13","","","2_63"
"46","022024_BEL_CBC_T2_812_PAST","Healthy","11_22_2024","26.6","UML_NARWHAL_R2_B13","","","2_57"
"47","022024_BEL_CBC_T2_813_MCAV","Healthy","11_22_2024","69","UML_NARWHAL_R2_B13","","","2_55"
"48","022024_BEL_CBC_T2_814_MCAV","Healthy","11_22_2024","58.2","UML_NARWHAL_R2_B13","","","2_60"
"49","022024_BEL_CBC_T2_815_OFAV","Healthy","11_22_2024","60.2","UML_NARWHAL_R2_B13","","","2_79"
"50","022024_BEL_CBC_T3_842_MCAV","Diseased_Tissue","9_10_2024","27","UML_NARWHAL_R2_B11","","","3_2"
"51","022024_BEL_CBC_T3_843_MCAV","Diseased_Margin","11_4_2024","2.94","UML_NARWHAL_R2_B11","","","3_2"
"52","022024_BEL_CBC_T3_844_OFAV","Healthy","11_26_2024","110","UML_NARWHAL_R2_B13","","","3_38"
"53","022024_BEL_CBC_T3_845_SSID","Healthy","11_26_2024","82.6","UML_NARWHAL_R2_B13","","","3_5"
"54","022024_BEL_CBC_T3_847_PAST","Healthy","11_26_2024","54","UML_NARWHAL_R2_B13","","","3_10"
"55","022024_BEL_CBC_T3_848_MCAV","Healthy","11_26_2024","59","UML_NARWHAL_R2_B13","","","3_14"
"56","022024_BEL_CBC_T3_849_PSTR","Healthy","11_26_2024","81","UML_NARWHAL_R2_B13","","","3_20"
"57","022024_BEL_CBC_T3_850_MCAV","Healthy","11_26_2024","91.5","UML_NARWHAL_R2_B13","","","3_21"
"58","022024_BEL_CBC_T3_851_PSTR","Healthy","11_26_2024","64.2","UML_NARWHAL_R2_B13","","","3_70"
"59","022024_BEL_CBC_T3_852_OFAV","Healthy","11_26_2024","49.5","UML_NARWHAL_R2_B13","","","3_39"
"60","022024_BEL_CBC_T3_853_SSID","Healthy","11_26_2024","34.1","UML_NARWHAL_R2_B13","","","3_33"
"61","022024_BEL_CBC_T3_854_PAST","Healthy","11_26_2024","36","UML_NARWHAL_R2_B13","","","3_34"
"62","022024_BEL_CBC_T4_870_MCAV","Healthy","11_26_2024","41.4","UML_NARWHAL_R2_B13","","","4_28"
"63","022024_BEL_CBC_T4_871_PSTR","Healthy","11_26_2024","91.4","UML_NARWHAL_R2_B13","","","4_98"
"64","022024_BEL_CBC_T4_872_PSTR","Healthy","11_26_2024","23.4","UML_NARWHAL_R2_B13","","","4_79"
"65","022024_BEL_CBC_T4_873_MCAV","Healthy","11_26_2024","81.4","UML_NARWHAL_R2_B13","","","4_76"
"66","022024_BEL_CBC_T4_874_OFAV","Healthy","11_26_2024","35.9","UML_NARWHAL_R2_B13","","","4_78"
"67","022024_BEL_CBC_T4_875_MCAV","Healthy","11_26_2024","39","UML_NARWHAL_R2_B13","","","4_30"
"68","042024_BEL_CBC_T1_924_MCAV","Healthy","12_2_2024","40.4","UML_NARWHAL_R2_B14","","","1_24"
"69","042024_BEL_CBC_T1_927_PSTR","Healthy","12_2_2024","24.7","UML_NARWHAL_R2_B14","","","1_12"
"70","042024_BEL_CBC_T1_928_OANN","Healthy","12_2_2024","14.9","UML_NARWHAL_R2_B14","","","1_25"
"71","042024_BEL_CBC_T1_929_PAST","Healthy","12_2_2024","34.4","UML_NARWHAL_R2_B14","","","1_21"
"72","042024_BEL_CBC_T1_931_SSID","Diseased_Tissue","9_9_2024","33.2","UML_NARWHAL_R2_B11","","","1_3"
"73","042024_BEL_CBC_T1_932_SSID","Diseased_Margin","11_4_2024","3.14","UML_NARWHAL_R2_B11","","","1_3"
"74","042024_BEL_CBC_T2_1014_OFAV","Healthy","12_2_2024","59","UML_NARWHAL_R2_B14","","","2_79"
"75","042024_BEL_CBC_T2_1016_MCAV","Healthy","12_2_2024","47.4","UML_NARWHAL_R2_B14","","","2_55"
"76","042024_BEL_CBC_T2_1017_MCAV","Healthy","12_2_2024","4.47","UML_NARWHAL_R2_B14","","","2_60"
"77","042024_BEL_CBC_T2_1018_PAST","Healthy","12_2_2024","25.9","UML_NARWHAL_R2_B14","","","2_57"
"78","042024_BEL_CBC_T2_1025_SSID","Healthy","12_2_2024","49.8","UML_NARWHAL_R2_B14","","","2_73"
"79","042024_BEL_CBC_T2_1026_OFAV","Healthy","12_2_2024","72.8","UML_NARWHAL_R2_B14","","","2_76"
"80","042024_BEL_CBC_T2_1027_PAST","Healthy","12_2_2024","14.7","UML_NARWHAL_R2_B14","","","2_68"
"81","042024_BEL_CBC_T2_1028_PAST","Healthy","12_2_2024","28.5","UML_NARWHAL_R2_B14","","","2_63"
"82","042024_BEL_CBC_T2_1034_SSID","Diseased_Tissue","9_9_2024","26","UML_NARWHAL_R2_B11","","","2_99"
"83","042024_BEL_CBC_T2_1035_SSID","Diseased_Margin","11_4_2024","1.14","UML_NARWHAL_R2_B11","","","2_99"
"84","042024_BEL_CBC_T2_1040_SSID","Healthy","12_2_2024","52.2","UML_NARWHAL_R2_B14","","","2_72"
"85","042024_BEL_CBC_T2_1144_MCAV","Healthy","12_2_2024","75.1","UML_NARWHAL_R2_B14","","","2_69"
"86","042024_BEL_CBC_T3_942_PAST","Healthy","12_3_2024","6.77","UML_NARWHAL_R2_B14","","","3_34"
"87","042024_BEL_CBC_T3_944_SSID","Healthy","12_3_2024","64.6","UML_NARWHAL_R2_B14","","","3_33"
"88","042024_BEL_CBC_T3_946_OFAV","Healthy","12_3_2024","56.7","UML_NARWHAL_R2_B14","","","3_39"
"89","042024_BEL_CBC_T3_947_MCAV","Healthy","12_3_2024","134","UML_NARWHAL_R2_B14","","","3_21"
"90","042024_BEL_CBC_T3_949_PSTR","Healthy","12_3_2024","9.51","UML_NARWHAL_R2_B14","","","3_70"
"91","042024_BEL_CBC_T3_950_PSTR","Healthy","12_3_2024","8.85","UML_NARWHAL_R2_B14","","","3_20"
"92","042024_BEL_CBC_T3_953_MCAV","Healthy","12_3_2024","129","UML_NARWHAL_R2_B14","","","3_14"
"93","042024_BEL_CBC_T3_955_OFAV","Healthy","12_3_2024","155","UML_NARWHAL_R2_B14","","","3_38"
"94","042024_BEL_CBC_T3_956_MCAV","Healthy","12_3_2024","12.8","UML_NARWHAL_R2_B14","","","3_2"
"95","042024_BEL_CBC_T3_959_SSID","Healthy","12_3_2024","21.5","UML_NARWHAL_R2_B14","","","3_5"
"96","042024_BEL_CBC_T3_960_OFAV","Healthy","12_3_2024","31.8","UML_NARWHAL_R2_B14","","","3_66"
"97","042024_BEL_CBC_T4_1041_MCAV","Healthy","12_3_2024","53.4","UML_NARWHAL_R2_B14","","","4_30"
"98","042024_BEL_CBC_T4_1042_OFAV","Healthy","12_3_2024","77.8","UML_NARWHAL_R2_B14","","","4_78"
"99","042024_BEL_CBC_T4_1044_PSTR","Healthy","12_3_2024","13.2","UML_NARWHAL_R2_B14","","","4_79"
"100","042024_BEL_CBC_T4_1045_MCAV","Healthy","12_3_2024","70.5","UML_NARWHAL_R2_B14","","","4_76"
"101","042024_BEL_CBC_T4_1046_PSTR","Healthy","12_3_2024","50.7","UML_NARWHAL_R2_B14","","","4_98"
"102","042024_BEL_CBC_T4_1047_MCAV","Healthy","12_3_2024","72.4","UML_NARWHAL_R2_B14","","","4_28"
"103","052022_BEL_CBC_T1_1_PAST","Healthy","2022","39.8","UML_NARWHAL_R2_B32,  UML_NARWHAL_R2_B35","11_5_2024","UML_NARWHAL_R6_B27","1_2"
"104","052022_BEL_CBC_T1_2_SSID","Healthy","12_2_2024","7.73","UML_NARWHAL_R2_B14, UML_NARWHAL_R2_B33","","","1_3"
"105","052022_BEL_CBC_T1_34_PAST","Healthy","8_19_2024","1.31","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30","1_21"
"106","052022_BEL_CBC_T1_53_PAST","Healthy","8_19_2024","1.75","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30","1_13"
"107","052022_BEL_CBC_T1_54_MCAV","Healthy","8_12_2024","0.361","UML_NARWHAL_R2_B26","10_6_2024","UML_NARWHAL_R6_B30","1_24"
"108","052022_BEL_CBC_T1_55_PSTR","Healthy","6_8_2023","9.4","UML_NARWHAL_R2_B3","10_6_2023","UML_NARWHAL_R6_B1","1_12"
"109","052022_BEL_CBC_T1_62_MCAV","Healthy","8_12_2024","0.538","UML_NARWHAL_R2_B26","10_6_2024","UML_NARWHAL_R6_B30","1_24"
"110","052022_BEL_CBC_T1_63_OFAV","Healthy","7_16_2024","9.86","UML_NARWHAL_R2_B26","8_6_2024","UML_NARWHAL_R6_B27","1_25"
"111","052022_BEL_CBC_T2_1_SSID","Healthy","12_4_2024","33.2","UML_NARWHAL_R2_B15","","","2_73"
"112","052022_BEL_CBC_T2_10_MCAV","Healthy","2022","7.94","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35","10_30_24","UML_NARWHAL_R6_B27","2_60"
