,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,colony,notes
1,022024_BEL_CBC_T1_771_PAST,Healthy,11_22_2024,23.8,UML_NARWHAL_R2_B13,,1_2,
2,022024_BEL_CBC_T1_773_SSID,Healthy,11_22_2024,61.8,UML_NARWHAL_R2_B13,,1_3,
3,022024_BEL_CBC_T1_774_MCAV,Healthy,11_22_2024,31.2,UML_NARWHAL_R2_B13,,1_24,
4,022024_BEL_CBC_T1_775_OANN,Healthy,11_22_2024,13.8,UML_NARWHAL_R2_B13,,1_25,
5,022024_BEL_CBC_T1_776_PSTR,Healthy,11_22_2024,20.2,UML_NARWHAL_R2_B13,,1_12,
6,022024_BEL_CBC_T2_804_OFAV,Healthy,11_22_2024,86.8,UML_NARWHAL_R2_B13,,2_76,
7,022024_BEL_CBC_T2_805_SSID,Diseased_Tissue,9_10_2024,10.2,UML_NARWHAL_R2_B11,,2_72,
8,022024_BEL_CBC_T2_806_SSID,Diseased_Margin,11_4_2024,2.46,UML_NARWHAL_R2_B11,,2_72,
9,022024_BEL_CBC_T2_807_SSID,Healthy,11_22_2024,77.6,UML_NARWHAL_R2_B13,,2_73,
10,022024_BEL_CBC_T2_808_PAST,Healthy,11_22_2024,32,UML_NARWHAL_R2_B13,,2_68,
11,022024_BEL_CBC_T2_809_MCAV,Healthy,11_22_2024,52.6,UML_NARWHAL_R2_B13,,2_69,
12,022024_BEL_CBC_T2_810_SSID,Healthy,11_22_2024,81.2,UML_NARWHAL_R2_B13,,2_99,
13,022024_BEL_CBC_T2_811_PAST,Healthy,11_22_2024,13.5,UML_NARWHAL_R2_B13,,2_63,
14,022024_BEL_CBC_T2_812_PAST,Healthy,11_22_2024,26.6,UML_NARWHAL_R2_B13,,2_57,
15,022024_BEL_CBC_T2_813_MCAV,Healthy,11_22_2024,69,UML_NARWHAL_R2_B13,,2_55,
16,022024_BEL_CBC_T2_814_MCAV,Healthy,11_22_2024,58.2,UML_NARWHAL_R2_B13,,2_60,
17,022024_BEL_CBC_T2_815_OFAV,Healthy,11_22_2024,60.2,UML_NARWHAL_R2_B13,,2_79,
18,022024_BEL_CBC_T3_842_MCAV,Diseased_Tissue,9_10_2024,27,UML_NARWHAL_R2_B11,,3_2,
19,022024_BEL_CBC_T3_843_MCAV,Diseased_Margin,11_4_2024,2.94,UML_NARWHAL_R2_B11,,3_2,
20,022024_BEL_CBC_T3_844_OFAV,Healthy,11_26_2024,110,UML_NARWHAL_R2_B13,,3_38,
21,022024_BEL_CBC_T3_845_SSID,Healthy,11_26_2024,82.6,UML_NARWHAL_R2_B13,,3_5,
22,022024_BEL_CBC_T3_847_PAST,Healthy,11_26_2024,54,UML_NARWHAL_R2_B13,,3_10,
23,022024_BEL_CBC_T3_848_MCAV,Healthy,11_26_2024,59,UML_NARWHAL_R2_B13,,3_14,
24,022024_BEL_CBC_T3_849_PSTR,Healthy,11_26_2024,81,UML_NARWHAL_R2_B13,,3_20,
25,022024_BEL_CBC_T3_850_MCAV,Healthy,11_26_2024,91.5,UML_NARWHAL_R2_B13,,3_21,
26,022024_BEL_CBC_T3_851_PSTR,Healthy,11_26_2024,64.2,UML_NARWHAL_R2_B13,,3_70,
27,022024_BEL_CBC_T3_852_OFAV,Healthy,11_26_2024,49.5,UML_NARWHAL_R2_B13,,3_39,
28,022024_BEL_CBC_T3_853_SSID,Healthy,11_26_2024,34.1,UML_NARWHAL_R2_B13,,3_33,
29,022024_BEL_CBC_T3_854_PAST,Healthy,11_26_2024,36,UML_NARWHAL_R2_B13,,3_34,
30,022024_BEL_CBC_T4_870_MCAV,Healthy,11_26_2024,41.4,UML_NARWHAL_R2_B13,,4_28,
31,022024_BEL_CBC_T4_871_PSTR,Healthy,11_26_2024,91.4,UML_NARWHAL_R2_B13,,4_98,
32,022024_BEL_CBC_T4_872_PSTR,Healthy,11_26_2024,23.4,UML_NARWHAL_R2_B13,,4_79,
33,022024_BEL_CBC_T4_873_MCAV,Healthy,11_26_2024,81.4,UML_NARWHAL_R2_B13,,4_76,
34,022024_BEL_CBC_T4_874_OFAV,Healthy,11_26_2024,35.9,UML_NARWHAL_R2_B13,,4_78,
35,022024_BEL_CBC_T4_875_MCAV,Healthy,11_26_2024,39,UML_NARWHAL_R2_B13,,4_30,
36,042024_BEL_CBC_T1_924_MCAV,Healthy,12_2_2024,40.4,UML_NARWHAL_R2_B14,,1_24,
37,042024_BEL_CBC_T1_927_PSTR,Healthy,12_2_2024,24.7,UML_NARWHAL_R2_B14,,1_12,
38,042024_BEL_CBC_T1_928_OANN,Healthy,12_2_2024,14.9,UML_NARWHAL_R2_B14,,1_25,
39,042024_BEL_CBC_T1_929_PAST,Healthy,12_2_2024,34.4,UML_NARWHAL_R2_B14,,1_21,
40,042024_BEL_CBC_T1_931_SSID,Diseased_Tissue,9_9_2024,33.2,UML_NARWHAL_R2_B11,,1_3,
41,042024_BEL_CBC_T1_932_SSID,Diseased_Margin,11_4_2024,3.14,UML_NARWHAL_R2_B11,,1_3,
42,042024_BEL_CBC_T2_1014_OFAV,Healthy,12_2_2024,59,UML_NARWHAL_R2_B14,,2_79,
43,042024_BEL_CBC_T2_1016_MCAV,Healthy,12_2_2024,47.4,UML_NARWHAL_R2_B14,,2_55,
44,042024_BEL_CBC_T2_1017_MCAV,Healthy,12_2_2024,4.47,UML_NARWHAL_R2_B14,,2_60,
45,042024_BEL_CBC_T2_1018_PAST,Healthy,12_2_2024,25.9,UML_NARWHAL_R2_B14,,2_57,
46,042024_BEL_CBC_T2_1025_SSID,Healthy,12_2_2024,49.8,UML_NARWHAL_R2_B14,,2_73,
47,042024_BEL_CBC_T2_1026_OFAV,Healthy,12_2_2024,72.8,UML_NARWHAL_R2_B14,,2_76,
48,042024_BEL_CBC_T2_1027_PAST,Healthy,12_2_2024,14.7,UML_NARWHAL_R2_B14,,2_68,
49,042024_BEL_CBC_T2_1028_PAST,Healthy,12_2_2024,28.5,UML_NARWHAL_R2_B14,,2_63,
50,042024_BEL_CBC_T2_1034_SSID,Diseased_Tissue,9_9_2024,26,UML_NARWHAL_R2_B11,,2_99,
