Month_Year,Health_Status,Species
092023,Healthy,PAST
092023,Healthy,PAST
092023,Healthy,SSID
092023,Healthy,MCAV
092023,Healthy,PAST
092023,Healthy,PAST
092023,Healthy,PSTR
092023,Diseased_Tissue,OANN
092023,Healthy,MCAV
092023,Healthy,PAST
092023,Healthy,DLAB
092023,Healthy,DLAB
092023,Diseased_Margin,SSID
092023,Diseased_Margin,OANN
092023,Diseased_Tissue,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Tissue,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Tissue,SSID
092023,Diseased_Margin,SSID
092023,Healthy,OANN
092023,Healthy,OFAV
092023,Healthy,OFAV
092023,Healthy,SSID
092023,Healthy,SSID
092023,Healthy,PAST
092023,Healthy,MCAV
092023,Healthy,SSID
092023,Diseased_Margin,SSID
092023,Healthy,SSID
092023,Healthy,PAST
092023,Healthy,PAST
092023,Healthy,MCAV
092023,Healthy,MCAV
092023,Diseased_Margin,PSTR
092023,Diseased_Tissue,PSTR
092023,Diseased_Margin,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Margin,OFAV
092023,Diseased_Tissue,OFAV
092023,Diseased_Margin,OANN
092023,Diseased_Tissue,OANN
092023,Diseased_Margin,SSID
092023,Diseased_Tissue,SSID
092023,Healthy,PSTR
092023,Healthy,PAST
092023,Healthy,DLAB
092023,Healthy,MCAV
092023,Healthy,DLAB
092023,Diseased_Tissue,DLAB
092023,Diseased_Margin,DLAB
092023,Diseased_Tissue,OANN
092023,Diseased_Margin,OANN
092023,Diseased_Tissue,OFAV
092023,Diseased_Margin,OFAV
092023,Diseased_Tissue,OFAV
092023,Diseased_Margin,OFAV
092023,Diseased_Tissue,OFAV
092023,Healthy,MCAV
092023,Healthy,PSTR
092023,Healthy,PSTR
092023,Healthy,MCAV
092023,Healthy,OFAV
092023,Healthy,MCAV
092023,Diseased_Margin,OFAV
092023,Healthy,MCAV
092023,Healthy,CNAT
092023,Healthy,OFAV
092023,Healthy,DLAB
092023,Diseased_Tissue,SSID
092023,Healthy,OFAV
092023,Healthy,PSTR
092023,Healthy,OFAV
092023,Healthy,OFAV
092023,Healthy,MCAV
092023,Healthy,MCAV
092023,Healthy,SSID
092023,Healthy,PAST
092023,Healthy,PAST
092023,Healthy,PAST
092023,Healthy,MCAV
092023,Healthy,SSID
092023,Healthy,PAST
092023,Healthy,PSTR
092023,Healthy,PAST
092023,Healthy,PAST
092023,Healthy,OANN
092023,Healthy,OANN
092023,Healthy,SSID
092023,Healthy,DLAB
092023,Healthy,PSTR
092023,Healthy,MCAV
092023,Healthy,DLAB
092023,Healthy,PSTR
092023,Diseased_Tissue,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Tissue,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Tissue,SSID
042024,Diseased_Tissue,OANN
092023,Diseased_Tissue,OANN
092023,Diseased_Tissue,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Margin,SSID
092023,Diseased_Margin,OANN
042024,Healthy,OANN
092023,Healthy,OANN
112023,Healthy,MCAV
112023,Healthy,SSID
112023,Healthy,PAST
112023,Healthy,OFAV
112023,Healthy,OFAV
112023,Healthy,PAST
112023,Healthy,MCAV
112023,Healthy,PSTR
112023,Healthy,PSTR
112023,Healthy,MCAV
112023,Healthy,OFAV
112023,Healthy,SSID
112023,Healthy,PAST
112023,Healthy,PSTR
112023,Healthy,PSTR
112023,Healthy,MCAV
112023,Healthy,OFAV
112023,Healthy,MCAV
112023,Healthy,MCAV
112023,Healthy,OFAV
112023,Healthy,SSID
112023,Healthy,SSID
112023,Healthy,MCAV
112023,Healthy,PAST
112023,Healthy,SSID
112023,Healthy,PAST
112023,Healthy,PAST
112023,Healthy,MCAV
112023,Healthy,MCAV
112023,Healthy,OFAV
112023,Healthy,PAST
112023,Healthy,PAST
112023,Healthy,SSID
112023,Healthy,MCAV
112023,Healthy,PSTR
122023,Healthy,OFAV
122023,Healthy,SSID
122023,Healthy,SSID
122023,Healthy,PAST
122023,Healthy,MCAV
122023,Healthy,SSID
122023,Healthy,MCAV
122023,Healthy,PAST
122023,Healthy,PAST
122023,Healthy,MCAV
122023,Healthy,OFAV
122023,Healthy,PAST
122023,Healthy,PAST
122023,Healthy,SSID
122023,Healthy,MCAV
122023,Healthy,PSTR
112023,Healthy,OFAV/OANN
122023,Healthy,MCAV
122023,Healthy,PSTR
122023,Healthy,PSTR
122023,Healthy,MCAV
122023,Healthy,OFAV
122023,Healthy,MCAV
122023,Healthy,MCAV
122023,Healthy,OFAV
122023,Healthy,SSID
122023,Healthy,PAST
122023,Healthy,OFAV
122023,Healthy,PAST
122023,Healthy,MCAV
122023,Healthy,PSTR
122023,Healthy,PSTR
122023,Healthy,MCAV
122023,Healthy,OFAV
122023,Healthy,SSID
122023,Healthy,PAST
012024,Healthy,PSTR
012024,Healthy,PSTR
012024,Healthy,MCAV
012024,Healthy,OFAV
012024,Healthy,MCAV
012024,Healthy,SSID
012024,Healthy,MCAV
122023,Healthy,OFAV/OANN
012024,Healthy,PSTR
012024,Healthy,PAST
012024,Healthy,SSID
012024,Healthy,PAST
012024,Healthy,OFAV
012024,Healthy,MCAV
012024,Healthy,MCAV
012024,Healthy,OFAV
012024,Healthy,SSID
012024,Healthy,OFAV
012024,Healthy,MCAV
012024,Healthy,PSTR
012024,Healthy,PSTR
012024,Healthy,OFAV
012024,Healthy,OANN
012024,Healthy,PAST
012024,Healthy,OANN
012024,Healthy,PAST
012024,Healthy,OANN
012024,Healthy,OANN
012024,Healthy,OFAV
012024,Healthy,PAST
012024,Healthy,OFAV
012024,Healthy,PAST
012024,Healthy,PAST
012024,Healthy,PAST
012024,Healthy,OFAV
012024,Healthy,OFAV
012024,Healthy,OFAV
012024,Healthy,OANN
012024,Healthy,OANN
012024,Healthy,OANN
012024,Healthy,MCAV
012024,Healthy,PSTR
012024,Healthy,MCAV
012024,Healthy,SSID
012024,Healthy,MCAV
012024,Healthy,SSID
012024,Healthy,MCAV
012024,Healthy,SSID
012024,Healthy,PSTR
012024,Healthy,PSTR
012024,Healthy,SSID
012024,Healthy,MCAV
012024,Healthy,SSID
012024,Healthy,PSTR
012024,Healthy,SSID
012024,Healthy,PSTR
012024,Healthy,MCAV
012024,Healthy,PSTR
012024,Healthy,OFAV
012024,Healthy,SSID
012024,Healthy,SSID
012024,Healthy,PAST
012024,Healthy,MCAV
012024,Healthy,PAST
012024,Healthy,PAST
012024,Healthy,MCAV
012024,Healthy,OFAV
012024,Healthy,MCAV
012024,Healthy,SSID
022024,Healthy,PAST
022024,Healthy,SSID
022024,Healthy,PSTR
022024,Healthy,MCAV
012024,Healthy,OANN
022024,Healthy,SSID
022024,Healthy,MCAV
022024,Healthy,PAST
022024,Healthy,MCAV
022024,Healthy,PAST
022024,Healthy,PAST
022024,Healthy,MCAV
022024,Diseased_tissue,SSID
022024,Diseased_margin,SSID
022024,Healthy,SSID
022024,Healthy,OFAV
022024,Healthy,OFAV
022024,Diseased_tissue,MCAV
022024,Diseased_margin,MCAV
022024,Healthy,SSID
022024,Healthy,PAST
022024,Healthy,MCAV
022024,Healthy,PSTR
022024,Healthy,MCAV
022024,Healthy,SSID
022024,Healthy,PAST
022024,Healthy,OFAV
022024,Healthy,OFAV
022024,Healthy,PSTR
022024,Healthy,OFAV
022024,Healthy,MCAV
022024,Healthy,MCAV
022024,Healthy,MCAV
022024,Healthy,OFAV
022024,Healthy,PSTR
022024,Healthy,PSTR
022024,Healthy,OANN
042024,Healthy,MCAV
042024,Diseased_margin,SSID
042024,Diseased_tissue,SSID
042024,Diseased_tissue,SSID
042024,Diseased_margin,SSID
042024,Healthy,MCAV
042024,Diseased_margin,SSID
042024,Healthy,PAST
042024,Diseased_margin,SSID
042024,Healthy,DLAB
042024,Healthy,PSTR
042024,Healthy,OANN
042024,Diseased_margin,SSID
042024,Healthy,PAST
042024,Diseased_tissue,SSID
042024,Diseased_margin,SSID
042024,Healthy,PAST
042024,Diseased_margin,SSID
042024,Healthy,DLAB
042024,Diseased_tissue,PSTR
042024,Diseased_margin,PSTR
042024,Healthy,SSID
042024,Healthy,OANN
042024,Diseased_tissue,SSID
042024,Diseased_margin,SSID
042024,Healthy,OFAV
042024,Healthy,MCAV
042024,Healthy,MCAV
042024,Healthy,PSTR
042024,Healthy,PSTR
042024,Healthy,OANN
042024,Diseased_tissue,SSID
042024,Healthy,PAST
042024,Healthy,MCAV
042024,Healthy,DLAB
042024,Healthy,OFAV
042024,Diseased_tissue,SSID
042024,Diseased_margin,SSID
042024,Diseased_tissue,SSID
042024,Diseased_margin,SSID
042024,Healthy,DLAB
042024,Healthy,MCAV
042024,Healthy,PSTR
042024,Diseased_tissue,SSID
042024,Diseased_margin,SSID
042024,Healthy,PAST
042024,Healthy,SSID
042024,Healthy,OFAV
042024,Healthy,PAST
042024,Healthy,DLAB
042024,Healthy,OFAV
042024,Healthy,OFAV
042024,Healthy,DLAB
042024,Healthy,OFAV
042024,Healthy,OFAV
042024,Healthy,MCAV
042024,Healthy,MCAV
042024,Healthy,OFAV
042024,Healthy,OFAV
042024,Healthy,PSTR
042024,Healthy,MCAV
042024,Healthy,PSTR
042024,Healthy,DLAB
042024,Healthy,DLAB
042024,Healthy,MCAV
042024,Healthy,OFAV
042024,Healthy,SSID
042024,Healthy,SSID
042024,Healthy,OFAV
042024,Healthy,PAST
042024,Healthy,PAST
042024,Healthy,OFAV
042024,Healthy,OFAV
042024,Diseased_tissue,SSID
042024,Diseased_margin,SSID
042024,Healthy,OANN
042024,Diseased_tissue,PSTR
042024,Diseased_margin,PSTR
042024,Healthy,MCAV
042024,Healthy,MCAV
042024,Healthy,PAST
042024,Healthy,MCAV
042024,Diseased_Tissue,SSID
042024,Diseased_Margin,SSID
042024,Diseased_margin,SSID
042024,Diseased_tissue,SSID
042024,Diseased_margin,SSID
042024,Diseased_margin,SSID
042024,Healthy,PSTR
042024,Healthy,MCAV
042024,Healthy,OANN
042024,Healthy,PAST
042024,Healthy,OANN
042024,Healthy,OFAV
042024,Healthy,MCAV
042024,Healthy,OANN
042024,Healthy,MCAV
042024,Healthy,OFAV
042024,Healthy,OANN
042024,Healthy,PAST
042024,Healthy,OANN
042024,Healthy,OFAV
042024,Healthy,SSID
042024,Healthy,PAST
042024,Healthy,OFAV
042024,Healthy,PSTR
042024,Healthy,PSTR
042024,Healthy,PSTR
042024,Healthy,OFAV
042024,Healthy,SSID
042024,Healthy,MCAV
042024,Healthy,SSID
042024,Healthy,OANN
042024,Healthy,SSID
042024,Healthy,PSTR
042024,Healthy,OANN
042024,Healthy,OFAV
042024,Healthy,MCAV
042024,Healthy,PAST
042024,Healthy,SSID
042024,Healthy,SSID
042024,Healthy,PSTR
042024,Healthy,MCAV
042024,Healthy,PSTR
042024,Healthy,MCAV
042024,Healthy,SSID
042024,Healthy,PAST
042024,Healthy,MCAV
042024,Healthy,SSID
042024,Healthy,MCAV
042024,Healthy,MCAV
042024,Healthy,SSID
042024,Healthy,MCAV
042024,Healthy,PAST
042024,Healthy,PAST
042024,Healthy,PAST
042024,Healthy,PAST
042024,Healthy,SSID
042024,Healthy,SSID
042024,Healthy,OFAV
042024,Healthy,PSTR
042024,Healthy,PSTR
042024,Healthy,OANN
042024,Healthy,PSTR
042024,Healthy,OANN
042024,Healthy,PSTR
042024,Healthy,OANN
042024,Healthy,OFAV
042024,Healthy,PSTR
042024,Healthy,OFAV
042024,Healthy,OANN
042024,Healthy,OFAV
042024,Healthy,OFAV
042024,Healthy,OANN
042024,Healthy,PAST
042024,Healthy,MCAV
042024,Diseased_Tissue,OANN
062024,Healthy,OFAV
062024,Healthy,OFAV
062024,Healthy,OFAV
062024,Healthy,SSID
062024,Healthy,PAST
062024,Diseased_Margin,MCAV
062024,Diseased_Tissue,MCAV
062024,Healthy,SSID
062024,Healthy,PAST
062024,Healthy,MCAV
062024,Healthy,PSTR
062024,Healthy,PSTR
062024,Healthy,MCAV
062024,Diseased_Margin,SSID
062024,Diseased_Tissue,SSID
062024,Healthy,OANN
062024,Healthy,PSTR
062024,Healthy,MCAV
062024,Healthy,PAST
062024,Healthy,PAST
062024,Diseased_Tissue,SSID
062024,Healthy,MCAV
062024,Healthy,PAST
062024,Healthy,MCAV
062024,Healthy,PAST
062024,Healthy,OFAV
062024,Healthy,SSID
062024,Healthy,PAST
062024,Diseased_Tissue,SSID
062024,Healthy,MCAV
062024,Healthy,OFAV
062024,Healthy,MCAV
062024,Healthy,PSTR
062024,Healthy,PSTR
062024,Healthy,MCAV
062024,Healthy,OFAV
062024,Healthy,MCAV
082024,healthy,PAST
082024,healthy,SSID
082024,healthy,PSTR
082024,healthy,OANN
082024,healthy,MCAV
082024,healthy,MCAV
