"Health_status","Species","Total_Count","Unextracted_Count"
"Diseased_Margin","MCAV",3,3
"Diseased_Margin","OANN",3,2
"Diseased_Margin","OFAV",0,NA
"Diseased_Margin","PAST",1,1
"Diseased_Margin","PSTR",2,1
"Diseased_Margin","SSID",16,16
"Diseased_Tissue","MCAV",3,3
"Diseased_Tissue","OANN",3,2
"Diseased_Tissue","OFAV",0,NA
"Diseased_Tissue","PAST",1,1
"Diseased_Tissue","PSTR",2,1
"Diseased_Tissue","SSID",21,21
"Healthy","MCAV",106,98
"Healthy","OANN",22,20
"Healthy","OFAV",53,45
"Healthy","PAST",80,70
"Healthy","PSTR",58,53
"Healthy","SSID",68,67
